Timestamp,XAGUSD_Open,XAGUSD_High,XAGUSD_Low,XAGUSD_Close,XAGUSD_Trend
2008-06-05 00:00:00,16.725,16.767,16.533,16.68,1.0
2008-06-06 00:00:00,17.081,17.164,16.958,17.008,1.0
2008-06-09 00:00:00,17.549,17.549,17.329,17.41,-1.0
2008-06-10 00:00:00,17.03,17.171,16.896,17.011,-1.0
2008-06-11 00:00:00,16.645,16.669,16.428,16.547,1.0
2008-06-12 00:00:00,16.762,16.868,16.639,16.692,-1.0
2008-06-13 00:00:00,16.418,16.558,16.344,16.496,1.0
2008-06-16 00:00:00,16.491,16.61,16.409000000000002,16.524,1.0
2008-06-17 00:00:00,17.095,17.155,16.907,17.088,-1.0
2008-06-18 00:00:00,16.995,17.111,16.901,17.031,1.0
2008-06-19 00:00:00,17.299,17.359,17.168,17.309,-1.0
2008-06-20 00:00:00,17.285,17.363,17.123,17.291,1.0
2008-06-23 00:00:00,17.359,17.426,17.195,17.32,-1.0
2008-06-24 00:00:00,16.741,16.869,16.65,16.757,-1.0
2008-06-25 00:00:00,16.549,16.688,16.457,16.53,1.0
2008-06-26 00:00:00,16.689,16.76,16.521,16.651,1.0
2008-06-27 00:00:00,17.129,17.194000000000006,16.967,17.078,1.0
2008-06-30 00:00:00,17.49,17.627,17.328,17.441,-1.0
2008-07-01 00:00:00,17.248,17.429000000000002,17.2,17.253,1.0
2008-07-02 00:00:00,17.984,18.097,17.881,17.993,1.0
2008-07-03 00:00:00,18.189,18.314,18.105,18.213,-1.0
2008-07-04 00:00:00,18.061,18.24,17.955,18.076,-1.0
2008-07-07 00:00:00,17.98,18.081,17.887,18.009,-1.0
2008-07-08 00:00:00,17.694000000000006,17.863,17.592,17.722,-1.0
2008-07-09 00:00:00,17.680999999999994,17.768,17.554000000000002,17.709,1.0
2008-07-10 00:00:00,18.05,18.181,17.952,18.015,1.0
2008-07-11 00:00:00,18.142,18.298,18.085,18.25,1.0
2008-07-14 00:00:00,18.699,18.818,18.563,18.7,1.0
2008-07-15 00:00:00,18.999,19.095,18.852,18.95,-1.0
2008-07-16 00:00:00,18.815,18.917,18.659,18.717,1.0
2008-07-17 00:00:00,18.689,18.9,18.603,18.742,-1.0
2008-07-18 00:00:00,18.479,18.547,18.286,18.381,-1.0
2008-07-21 00:00:00,18.15,18.255,18.025,18.126,1.0
2008-07-22 00:00:00,18.33,18.48,18.25,18.373,-1.0
2008-07-23 00:00:00,17.886,18.022,17.784000000000006,17.861,-1.0
2008-07-24 00:00:00,17.349,17.415,17.125999999999998,17.215999999999998,1.0
2008-07-25 00:00:00,17.402,17.523,17.266,17.367,1.0
2008-07-28 00:00:00,17.362000000000002,17.438,17.171,17.382,1.0
2008-07-29 00:00:00,17.464000000000002,17.611,17.397000000000002,17.553,-1.0
2008-07-30 00:00:00,17.288,17.36,17.1,17.245,1.0
2008-07-31 00:00:00,17.462,17.539,17.314,17.485,1.0
2008-08-01 00:00:00,17.651,17.749000000000006,17.472,17.654,-1.0
2008-08-04 00:00:00,17.435,17.54,17.313,17.430999999999994,-1.0
2008-08-05 00:00:00,16.857,16.969,16.745,16.833,-1.0
2008-08-06 00:00:00,16.4,16.587,16.288,16.422,1.0
2008-08-07 00:00:00,16.469,16.597,16.379,16.491,-1.0
2008-08-08 00:00:00,16.116,16.184,15.909,15.948,-1.0
2008-08-11 00:00:00,15.261,15.395,15.152,15.27,-1.0
2008-08-12 00:00:00,14.529000000000002,14.663,14.327,14.383,1.0
2008-08-13 00:00:00,14.461,14.637,14.322,14.483,1.0
2008-08-14 00:00:00,14.845999999999998,14.989,14.717,14.808,-1.0
2008-08-15 00:00:00,13.542,13.626,12.188,12.575,1.0
2008-08-18 00:00:00,12.961,13.252,12.849,13.182,-1.0
2008-08-19 00:00:00,12.997,13.071,12.753,12.896,1.0
2008-08-20 00:00:00,13.296,13.419,13.130999999999998,13.362,-1.0
2008-08-21 00:00:00,13.175,13.302,13.088,13.211,1.0
2008-08-22 00:00:00,13.724,13.955,13.601,13.844,-1.0
2008-08-25 00:00:00,13.311,13.351,12.986,13.049,1.0
2008-08-26 00:00:00,13.388,13.456,13.166,13.314,1.0
2008-08-27 00:00:00,13.550999999999998,13.662,13.402,13.523,-1.0
2008-08-28 00:00:00,13.511,13.593,13.329,13.467,1.0
2008-08-29 00:00:00,13.681,13.778,13.398,13.527,1.0
2008-09-01 00:00:00,13.719,13.765999999999998,13.514,13.571,-1.0
2008-09-02 00:00:00,13.375,13.441,13.140999999999998,13.272,-1.0
2008-09-03 00:00:00,13.037,13.107,12.871,12.973,-1.0
2008-09-04 00:00:00,12.941,13.002,12.759,12.862,-1.0
2008-09-05 00:00:00,12.599,12.731,12.468,12.576,1.0
2008-09-08 00:00:00,12.431,12.682,12.318,12.636,-1.0
2008-09-09 00:00:00,12.024,12.140999999999998,11.894,12.027,-1.0
2008-09-10 00:00:00,10.972,11.144,10.813,10.997,-1.0
2008-09-11 00:00:00,10.503,10.72,10.409,10.654000000000002,-1.0
2008-09-12 00:00:00,10.607,10.733,10.488,10.615,1.0
2008-09-15 00:00:00,11.021,11.175999999999998,10.871,11.018,-1.0
2008-09-16 00:00:00,10.921,10.99,10.661,10.729,-1.0
2008-09-17 00:00:00,10.547,10.669,10.372,10.528,1.0
2008-09-18 00:00:00,12.08,12.486,11.915,12.338,-1.0
2008-09-19 00:00:00,12.005,12.144,11.705,11.917,1.0
2008-09-22 00:00:00,12.632,12.706,12.401,12.488,1.0
2008-09-23 00:00:00,13.44,13.67,13.333,13.521,-1.0
2008-09-24 00:00:00,13.166,13.263,12.941,13.012,1.0
2008-09-25 00:00:00,13.205,13.295,13.05,13.184,1.0
2008-09-26 00:00:00,13.316,13.352,13.083,13.203,-1.0
2008-09-29 00:00:00,13.041,13.188,12.845999999999998,13.117,-1.0
2008-09-30 00:00:00,12.911,13.167,12.828,13.094,-1.0
2008-10-01 00:00:00,11.791,12.166,11.779000000000002,12.078,1.0
2008-10-02 00:00:00,12.312,12.496,12.236,12.436,-1.0
